time,o,h,l,c,volume,complete
2020-08-11 09:16:30,1994.221,1994.616,1994.125,1994.574,28,True
2020-08-11 09:17:00,1994.526,1994.58,1994.102,1994.15,15,True
2020-08-11 09:17:30,1994.196,1994.294,1994.06,1994.156,24,True
2020-08-11 09:18:00,1994.197,1994.466,1994.197,1994.41,18,True
2020-08-11 09:18:30,1994.351,1994.351,1994.094,1994.14,17,True
2020-08-11 09:19:00,1994.188,1994.55,1994.188,1994.55,33,True
2020-08-11 09:19:30,1994.594,1995.732,1994.594,1995.432,52,True
2020-08-11 09:20:00,1995.386,1996.522,1995.386,1996.326,45,True
2020-08-11 09:20:30,1996.401,1996.6,1995.819,1995.819,59,True
2020-08-11 09:21:00,1995.776,1995.914,1995.026,1995.914,59,True
2020-08-11 09:21:30,1995.956,1997.862,1995.956,1996.838,125,True
2020-08-11 09:22:00,1996.788,1997.386,1996.615,1997.044,72,True
2020-08-11 09:22:30,1997.084,1997.651,1997.084,1997.363,49,True
2020-08-11 09:23:00,1997.312,1997.312,1996.418,1996.954,57,True
2020-08-11 09:23:30,1996.909,1997.226,1996.868,1997.018,31,True
2020-08-11 09:24:00,1996.976,1997.072,1996.356,1996.828,48,True
2020-08-11 09:24:30,1996.779,1997.31,1996.705,1996.804,56,True
2020-08-11 09:25:00,1996.88,1996.929,1996.433,1996.884,34,True
2020-08-11 09:25:30,1996.834,1997.505,1996.834,1997.446,37,True
2020-08-11 09:26:00,1997.406,1997.546,1997.31,1997.429,28,True
2020-08-11 09:26:30,1997.47,1997.47,1997.154,1997.3,27,True
2020-08-11 09:27:00,1997.253,1997.253,1996.726,1996.726,17,True
2020-08-11 09:27:30,1996.685,1996.685,1996.098,1996.143,26,True
2020-08-11 09:28:00,1996.102,1996.107,1995.897,1995.992,20,True
2020-08-11 09:28:30,1996.036,1996.311,1996.036,1996.156,19,True
2020-08-11 09:29:00,1996.197,1997.653,1996.197,1997.552,55,True
2020-08-11 09:29:30,1997.596,1997.647,1996.892,1997.51,48,True
2020-08-11 09:30:00,1997.56,1997.6,1996.935,1997.102,55,True
2020-08-11 09:30:30,1997.162,1997.162,1996.388,1996.724,35,True
2020-08-11 09:31:00,1996.679,1997.282,1996.679,1996.956,42,True
2020-08-11 09:31:30,1996.914,1997.426,1996.604,1997.193,36,True
2020-08-11 09:32:00,1997.147,1997.377,1996.64,1997.154,53,True
2020-08-11 09:32:30,1997.111,1997.372,1996.636,1996.768,43,True
2020-08-11 09:33:00,1996.808,1996.853,1996.355,1996.355,15,True
2020-08-11 09:33:30,1996.399,1996.482,1996.14,1996.14,25,True
2020-08-11 09:34:00,1996.097,1996.097,1995.35,1995.717,60,True
2020-08-11 09:34:30,1995.674,1995.724,1995.53,1995.53,18,True
2020-08-11 09:35:00,1995.578,1995.73,1995.488,1995.716,22,True
2020-08-11 09:35:30,1995.756,1995.939,1995.674,1995.939,17,True
2020-08-11 09:36:00,1995.896,1995.938,1994.401,1994.688,60,True
2020-08-11 09:36:30,1994.731,1994.731,1994.234,1994.234,36,True
2020-08-11 09:37:00,1994.284,1994.672,1994.284,1994.299,35,True
2020-08-11 09:37:30,1994.242,1994.302,1993.724,1994.05,41,True
2020-08-11 09:38:00,1994.102,1994.618,1994.102,1994.312,25,True
2020-08-11 09:38:30,1994.27,1994.439,1993.808,1994.349,38,True
2020-08-11 09:39:00,1994.393,1994.631,1994.002,1994.002,30,True
2020-08-11 09:39:30,1993.956,1993.956,1993.57,1993.656,35,True
2020-08-11 09:40:00,1993.702,1994.326,1993.614,1993.803,45,True
2020-08-11 09:40:30,1993.844,1993.922,1993.612,1993.837,30,True
2020-08-11 09:41:00,1993.878,1994.116,1993.772,1994.116,21,True
2020-08-11 09:41:30,1994.163,1994.38,1994.068,1994.068,24,True
2020-08-11 09:42:00,1994.005,1994.472,1993.832,1994.472,21,True
2020-08-11 09:42:30,1994.518,1994.56,1994.336,1994.556,12,True
2020-08-11 09:43:00,1994.505,1994.505,1994.052,1994.302,17,True
2020-08-11 09:43:30,1994.343,1994.383,1994.15,1994.282,16,True
2020-08-11 09:44:00,1994.324,1994.718,1994.324,1994.718,19,True
2020-08-11 09:44:30,1994.674,1994.674,1994.498,1994.54,10,True
2020-08-11 09:45:00,1994.594,1994.734,1994.554,1994.734,8,True
2020-08-11 09:45:30,1994.804,1995.055,1994.782,1994.782,22,True
2020-08-11 09:46:00,1994.832,1994.912,1994.091,1994.091,23,True
2020-08-11 09:46:30,1994.04,1994.546,1993.916,1994.546,26,True
2020-08-11 09:47:00,1994.588,1994.756,1993.905,1993.905,27,True
2020-08-11 09:47:30,1993.864,1993.907,1993.722,1993.762,9,True
2020-08-11 09:48:00,1993.804,1993.994,1993.638,1993.638,13,True
2020-08-11 09:48:30,1993.678,1993.894,1993.662,1993.662,11,True
2020-08-11 09:49:00,1993.62,1993.7,1993.62,1993.7,3,True
2020-08-11 09:49:30,1993.742,1994.178,1993.742,1994.178,17,True
2020-08-11 09:50:00,1994.137,1994.137,1992.897,1992.938,38,True
2020-08-11 09:50:30,1992.894,1992.894,1991.321,1991.579,58,True
2020-08-11 09:51:00,1991.539,1991.584,1989.579,1989.698,97,True
2020-08-11 09:51:30,1989.748,1989.932,1988.486,1989.124,143,True
2020-08-11 09:52:00,1989.171,1990.48,1989.129,1990.438,51,True
2020-08-11 09:52:30,1990.396,1990.918,1990.174,1990.918,38,True
2020-08-11 09:53:00,1990.849,1990.988,1989.356,1989.476,61,True
2020-08-11 09:53:30,1989.419,1989.72,1988.87,1988.934,43,True
2020-08-11 09:54:00,1988.881,1989.074,1988.552,1988.594,39,True
2020-08-11 09:54:30,1988.55,1988.875,1987.943,1988.875,68,True
2020-08-11 09:55:00,1988.916,1989.032,1988.654,1988.984,39,True
2020-08-11 09:55:30,1988.936,1989.478,1988.936,1989.478,50,True
2020-08-11 09:56:00,1989.424,1989.424,1988.744,1989.106,36,True
2020-08-11 09:56:30,1989.148,1989.166,1988.95,1989.0,13,True
2020-08-11 09:57:00,1988.956,1989.849,1988.956,1989.803,29,True
2020-08-11 09:57:30,1989.847,1990.038,1989.683,1989.811,17,True
2020-08-11 09:58:00,1989.857,1989.953,1989.668,1989.668,10,True
2020-08-11 09:58:30,1989.717,1989.82,1989.354,1989.778,24,True
2020-08-11 09:59:00,1989.822,1989.906,1989.456,1989.456,31,True
2020-08-11 09:59:30,1989.502,1989.502,1988.835,1989.237,39,True
2020-08-11 10:00:00,1989.194,1989.245,1988.107,1988.65,64,True
2020-08-11 10:00:30,1988.608,1989.215,1988.34,1989.172,41,True
2020-08-11 10:01:00,1989.214,1989.321,1988.862,1988.882,33,True
2020-08-11 10:01:30,1988.83,1989.662,1988.6,1989.493,37,True
2020-08-11 10:02:00,1989.535,1989.628,1988.803,1989.005,39,True
2020-08-11 10:02:30,1989.048,1989.61,1989.048,1989.517,23,True
2020-08-11 10:03:00,1989.566,1989.566,1988.957,1989.294,25,True
2020-08-11 10:03:30,1989.342,1989.688,1989.342,1989.413,20,True
2020-08-11 10:04:00,1989.372,1990.204,1989.329,1990.108,30,True
2020-08-11 10:04:30,1990.063,1990.25,1989.859,1989.95,34,True
2020-08-11 10:05:00,1989.904,1990.124,1989.848,1990.079,29,True
2020-08-11 10:05:30,1990.036,1991.024,1989.958,1990.794,39,True
2020-08-11 10:06:00,1990.834,1991.762,1990.834,1991.571,38,True
2020-08-11 10:06:30,1991.52,1991.84,1991.476,1991.672,21,True
2020-08-11 10:07:00,1991.626,1991.664,1991.365,1991.662,27,True
2020-08-11 10:07:30,1991.703,1991.96,1991.1,1991.96,52,True
2020-08-11 10:08:00,1991.916,1992.286,1990.866,1991.039,64,True
2020-08-11 10:08:30,1990.998,1990.998,1990.128,1990.228,59,True
2020-08-11 10:09:00,1990.166,1990.382,1989.967,1990.382,28,True
2020-08-11 10:09:30,1990.429,1990.748,1990.35,1990.579,35,True
2020-08-11 10:10:00,1990.536,1990.618,1990.288,1990.618,25,True
2020-08-11 10:10:30,1990.662,1991.178,1990.662,1991.178,17,True
2020-08-11 10:11:00,1991.13,1991.166,1990.996,1991.165,16,True
2020-08-11 10:11:30,1991.213,1991.32,1990.932,1991.049,26,True
2020-08-11 10:12:00,1991.094,1991.878,1991.094,1991.658,33,True
2020-08-11 10:12:30,1991.708,1991.749,1991.618,1991.618,5,True
2020-08-11 10:13:00,1991.66,1991.836,1991.352,1991.352,15,True
2020-08-11 10:13:30,1991.302,1991.386,1991.172,1991.36,24,True
2020-08-11 10:14:00,1991.409,1991.45,1990.36,1990.45,43,True
2020-08-11 10:14:30,1990.406,1990.475,1990.191,1990.475,22,True
2020-08-11 10:15:00,1990.433,1990.433,1987.89,1987.936,89,True
2020-08-11 10:15:30,1987.866,1988.234,1986.768,1987.18,109,True
2020-08-11 10:16:00,1987.236,1987.822,1987.101,1987.556,58,True
2020-08-11 10:16:30,1987.598,1987.598,1986.696,1987.102,60,True
2020-08-11 10:17:00,1987.058,1987.456,1987.03,1987.252,33,True
2020-08-11 10:17:30,1987.21,1987.21,1985.484,1985.524,99,True
2020-08-11 10:18:00,1985.47,1985.724,1985.074,1985.44,76,True
2020-08-11 10:18:30,1985.48,1985.816,1985.414,1985.457,32,True
2020-08-11 10:19:00,1985.392,1985.967,1985.392,1985.775,30,True
2020-08-11 10:19:30,1985.734,1985.734,1984.358,1984.92,80,True
2020-08-11 10:20:00,1984.878,1985.972,1984.786,1985.972,59,True
2020-08-11 10:20:30,1985.929,1986.484,1985.064,1985.064,57,True
2020-08-11 10:21:00,1985.128,1985.799,1985.006,1985.006,50,True
2020-08-11 10:21:30,1985.047,1985.172,1984.79,1984.986,34,True
2020-08-11 10:22:00,1985.039,1985.851,1985.039,1985.808,37,True
2020-08-11 10:22:30,1985.85,1986.125,1985.762,1986.125,25,True
2020-08-11 10:23:00,1986.076,1986.396,1986.076,1986.371,18,True
2020-08-11 10:23:30,1986.421,1986.752,1986.421,1986.744,12,True
2020-08-11 10:24:00,1986.791,1986.946,1986.7,1986.9,13,True
2020-08-11 10:24:30,1986.94,1987.152,1986.764,1986.984,26,True
2020-08-11 10:25:00,1986.928,1987.006,1986.786,1986.916,15,True
2020-08-11 10:25:30,1986.958,1987.141,1986.852,1987.141,25,True
2020-08-11 10:26:00,1987.098,1987.16,1987.026,1987.028,11,True
2020-08-11 10:26:30,1986.986,1987.36,1986.986,1987.276,12,True
2020-08-11 10:27:00,1987.235,1987.378,1987.148,1987.378,18,True
2020-08-11 10:27:30,1987.419,1987.516,1987.332,1987.504,23,True
2020-08-11 10:28:00,1987.554,1987.756,1987.436,1987.672,21,True
2020-08-11 10:28:30,1987.629,1987.629,1987.484,1987.529,9,True
2020-08-11 10:29:00,1987.483,1987.742,1987.483,1987.733,15,True
2020-08-11 10:29:30,1987.692,1987.794,1987.692,1987.794,3,True
2020-08-11 10:30:00,1987.752,1987.756,1987.712,1987.756,5,True
2020-08-11 10:30:30,1987.796,1987.978,1987.796,1987.854,12,True
2020-08-11 10:31:00,1987.78,1987.78,1987.128,1987.33,25,True
2020-08-11 10:31:30,1987.289,1987.89,1987.24,1987.738,32,True
2020-08-11 10:32:00,1987.779,1987.822,1987.5,1987.502,11,True
2020-08-11 10:32:30,1987.46,1987.504,1986.343,1986.368,38,True
2020-08-11 10:33:00,1986.412,1986.94,1986.175,1986.94,33,True
2020-08-11 10:33:30,1986.892,1986.892,1986.58,1986.7,26,True
2020-08-11 10:34:00,1986.657,1986.881,1986.418,1986.881,18,True
2020-08-11 10:34:30,1986.922,1987.126,1986.872,1987.126,18,True
2020-08-11 10:35:00,1987.082,1987.082,1986.76,1986.76,14,True
2020-08-11 10:35:30,1986.802,1986.802,1986.598,1986.64,9,True
2020-08-11 10:36:00,1986.542,1986.542,1985.036,1985.483,55,True
2020-08-11 10:36:30,1985.428,1985.428,1984.774,1985.376,41,True
2020-08-11 10:37:00,1985.31,1985.766,1985.249,1985.663,35,True
2020-08-11 10:37:30,1985.708,1986.42,1985.708,1986.38,23,True
2020-08-11 10:38:00,1986.428,1986.86,1986.294,1986.86,39,True
2020-08-11 10:38:30,1986.819,1987.634,1986.819,1987.474,31,True
2020-08-11 10:39:00,1987.527,1987.57,1987.01,1987.35,27,True
2020-08-11 10:39:30,1987.309,1987.5,1987.128,1987.128,22,True
2020-08-11 10:40:00,1987.087,1987.266,1986.912,1987.036,22,True
2020-08-11 10:40:30,1986.994,1987.042,1986.312,1986.432,44,True
2020-08-11 10:41:00,1986.38,1986.646,1986.204,1986.515,22,True
2020-08-11 10:41:30,1986.557,1986.686,1986.36,1986.49,22,True
2020-08-11 10:42:00,1986.532,1986.789,1986.416,1986.789,27,True
2020-08-11 10:42:30,1986.72,1987.29,1986.582,1987.29,34,True
2020-08-11 10:43:00,1987.248,1987.248,1986.831,1987.002,24,True
2020-08-11 10:43:30,1986.96,1986.96,1986.202,1986.521,27,True
2020-08-11 10:44:00,1986.566,1986.839,1986.566,1986.839,17,True
2020-08-11 10:44:30,1986.88,1987.004,1986.87,1986.926,12,True
2020-08-11 10:45:00,1986.882,1987.079,1986.556,1986.556,19,True
2020-08-11 10:45:30,1986.602,1986.646,1986.39,1986.572,18,True
2020-08-11 10:46:00,1986.524,1986.743,1986.478,1986.478,16,True
